doc_id,topic_group,abstract
prompt_engineering,llm_evaluation,"Prompt engineering studies how instructions, examples, and constraints change model behavior."
calibration,llm_evaluation,Calibration measures whether predicted probabilities match observed correctness frequencies.
toxicity_eval,llm_evaluation,"Toxicity evaluation measures whether model outputs contain harmful, abusive, or unsafe language."
llm_judge,llm_evaluation,LLM-as-judge evaluation uses a language model to rate outputs according to a rubric.
tool_use_agent,agentic_ai,"Tool-using agents call calculators, search systems, or code tools to solve tasks more reliably."
planning_agent,agentic_ai,Planning agents decompose a goal into steps before executing actions.
reflection_loop,agentic_ai,Reflection loops let an agent critique its own output and revise the next action.
memory_agent,agentic_ai,Agent memory stores useful prior context so later decisions can use earlier information.
tool_routing,agentic_ai,Tool routing selects the correct external tool based on task intent and input constraints.
degree_centrality,graph_learning,Degree centrality measures how many direct connections a node has in a graph.
betweenness_centrality,graph_learning,Betweenness centrality measures how often a node lies on shortest paths between other nodes.
community_detection,graph_learning,Community detection finds groups of nodes with dense internal connections.
graph_convolution,graph_learning,Graph convolution aggregates neighboring node features to learn graph-aware representations.
node_classification,graph_learning,Node classification predicts labels for graph nodes using features and graph structure.
cross_validation,ml_evaluation,Cross-validation trains and tests models across multiple data splits to estimate generalization.
confusion_matrix,ml_evaluation,A confusion matrix shows correct and incorrect predictions for each class.
macro_f1,ml_evaluation,Macro F1 averages class F1 scores equally and is useful when class balance matters.
roc_auc,ml_evaluation,ROC-AUC measures how well a classifier ranks positive examples above negative examples.
early_stopping,ml_evaluation,Early stopping halts training when validation performance no longer improves.
fairness_selection_rate,responsible_ai,Selection rate compares how often a model predicts a positive outcome for different groups.
equal_opportunity,responsible_ai,Equal opportunity compares true positive rates across demographic groups.
privacy_attack,responsible_ai,Privacy attacks can infer sensitive information from model outputs or gradients.
model_card,responsible_ai,"A model card documents intended use, limitations, training data, and evaluation results."
data_datasheet,responsible_ai,"A datasheet for datasets documents data collection, composition, recommended use, and risks."
dropout_regularization,training_methods,Dropout randomly disables neurons during training to reduce overfitting.
weight_decay,training_methods,Weight decay penalizes large model weights to improve generalization.
batch_normalization,training_methods,Batch normalization stabilizes activations and can speed up neural network training.
learning_rate_schedule,training_methods,Learning rate schedules change the optimizer step size during training.
adam_optimizer,training_methods,Adam combines momentum and adaptive learning rates for gradient-based optimization.
mnist_dataset,datasets,MNIST contains handwritten digit images and is often used for basic classification experiments.
fashionmnist_dataset,datasets,FashionMNIST contains grayscale clothing images across ten fashion categories.
cifar10_dataset,datasets,CIFAR-10 contains small color images from ten object classes.
coco_dataset,datasets,"COCO provides images with object detection, segmentation, and caption annotations."
cora_dataset,datasets,"Cora is a citation network dataset with paper features, citation links, and topic labels."
onnx_export,deployment,ONNX export converts trained models into an interoperable format for deployment.
latency_benchmark,deployment,Latency benchmarking measures how long inference takes under deployment conditions.
throughput,deployment,Throughput measures how many inputs a system processes per unit time.
monitoring_drift,deployment,Data drift monitoring checks whether production inputs change compared with training data.
rollback_strategy,deployment,Rollback strategy restores a previous model when a new deployment causes problems.
forecasting,time_series,Forecasting predicts future values from historical time-series observations.
seasonality,time_series,"Seasonality is a repeated temporal pattern such as daily, weekly, or yearly cycles."
anomaly_detection,time_series,Anomaly detection finds unusual observations that differ from expected behavior.
rolling_window,time_series,Rolling-window evaluation trains on past windows and tests on later time periods.
temporal_leakage,time_series,Temporal leakage happens when future information leaks into time-series training features.
tokenization,nlp,"Tokenization splits text into units such as words, subwords, or characters."
named_entity_recognition,nlp,"Named entity recognition finds entities such as people, organizations, and locations in text."
text_classification,nlp,"Text classification assigns labels such as topic, intent, or sentiment to documents."
summarization,nlp,Summarization produces a shorter version of a document while preserving important information.
machine_translation,nlp,Machine translation converts text from one language into another language.
adversarial_examples,security,Adversarial examples are inputs modified to fool a model while appearing similar to humans.
data_poisoning,security,Data poisoning attacks inject harmful training examples to corrupt model behavior.
model_extraction,security,Model extraction tries to copy a model by querying it and observing outputs.
prompt_injection,security,Prompt injection tries to override an LLM application's instructions using malicious input.
membership_inference,security,Membership inference predicts whether a sample was part of a model's training data.
gradient_descent,optimization,Gradient descent updates parameters in the direction that reduces loss.
momentum,optimization,Momentum accumulates past gradients to smooth and accelerate optimization.
learning_rate,optimization,Learning rate controls the step size of parameter updates during training.
loss_landscape,optimization,Loss landscape describes how the objective changes across parameter space.
hyperparameter_search,optimization,"Hyperparameter search tests settings such as learning rate, depth, and regularization strength."
q_learning,reinforcement_learning,Q-learning estimates action values and learns a policy from rewards without requiring a model of the environment.
policy_gradient,reinforcement_learning,Policy gradient methods directly optimize a parameterized policy using reward-weighted gradient estimates.
reward_function,reinforcement_learning,A reward function defines the feedback signal that guides a reinforcement learning agent toward desired behavior.
exploration_exploitation,reinforcement_learning,Exploration tries new actions while exploitation uses actions that currently look best.
offline_rl,reinforcement_learning,Offline reinforcement learning trains policies from fixed logged data without new environment interaction.
vision_language_model,multimodal_ai,Vision-language models connect images and text so a system can reason across both modalities.
image_captioning,multimodal_ai,Image captioning generates natural-language descriptions for visual content.
clip_contrastive,multimodal_ai,CLIP-style contrastive learning aligns image and text embeddings using paired examples.
multimodal_embedding,multimodal_ai,Multimodal embeddings place different data types in a shared representation space for retrieval or reasoning.
visual_question_answering,multimodal_ai,Visual question answering answers text questions about the content of an image.
